id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts256972,Spirit Rangers,SHOW,2022,TV-Y,25,"['scifi', 'comedy', 'family', 'fantasy', 'animation', 'action']",['US'],1,tt13351446,7.3,131,11.999,5.5
ts330012,Eternally Confused and Eager for Love,SHOW,2022,TV-MA,23,"['comedy', 'romance']",['IN'],1,tt18274188,6.7,2130,5.169,6
tm1005109,Kingdom: Ashin of the North,MOVIE,2021,,92,"['action', 'drama', 'fantasy', 'horror', 'thriller']",['KR'],,tt13412252,7,11560,34.202,7.4
tm1077201,Stuck Together,MOVIE,2021,,126,['comedy'],"['BE', 'FR']",,tt13834006,6.3,7418,10.142,6
ts313849,Blown Away: Christmas,SHOW,2021,TV-PG,29,['reality'],[],1,tt15665668,6.8,618,2.417,6
tm919903,Tragic Jungle,MOVIE,2021,,96,['drama'],"['CO', 'FR', 'MX']",,tt12792598,5.6,1018,3.349,6.1
ts302056,Titletown High,SHOW,2021,TV-14,34,"['reality', 'sport']",['US'],1,tt15192032,5.7,376,2.763,5
tm1253328,Code Name: Tiranga,MOVIE,2022,,137,"['thriller', 'drama', 'action']",['IN'],,tt22099068,3.1,1837,3.494,3.5
tm1037687,Dancing Queens,MOVIE,2021,,110,"['drama', 'comedy']",['SE'],,tt13032716,5.7,1946,10.067,5.9
tm813078,Prayers for the Stolen,MOVIE,2021,R,110,['drama'],"['BR', 'AR', 'CH', 'US', 'MX', 'DE']",,tt10413138,7.3,1729,9.681,7.82
tm1086874,Minnal Murali,MOVIE,2021,,158,"['action', 'comedy', 'drama', 'fantasy', 'scifi']",['IN'],,tt7268738,8.1,24681,19.751,7.195
tm817075,Furioza,MOVIE,2021,,139,"['drama', 'action', 'crime']",['PL'],,tt10515864,6.3,4981,12.823,6.3
ts317422,Saturday Morning All Star Hits!,SHOW,2021,TV-14,23,"['animation', 'comedy']",['US'],1,tt15977708,7.5,1085,4.158,5.7
tm1267703,Triviaverse,MOVIE,2022,G,6,['family'],['US'],,,,,2.486,5.8
ts306135,"Vendetta: Truth, Lies and The Mafia",SHOW,2021,TV-MA,40,"['documentation', 'crime', 'thriller']",[],1,tt14216574,6.7,232,5.339,6.333
ts302570,John of God: The Crimes of a Spiritual Healer,SHOW,2021,TV-MA,50,"['documentation', 'crime']",['BR'],1,tt15233856,6.5,924,3.109,7
tm1023677,Darlings,MOVIE,2022,,133,"['comedy', 'drama', 'thriller']",['IN'],,tt14152140,6.6,19107,7.198,7.2
tm1044137,Headspace Unwind you Mind,MOVIE,2021,G,15,"['animation', 'documentation']",['US'],,tt14684160,7.2,132,6.959,7
tm1227335,Mat Kilau,MOVIE,2022,,118,"['action', 'history', 'thriller', 'drama']",['MY'],,tt11347146,5.6,1541,2.71,7.7
tm1027712,This Little Love of Mine,MOVIE,2021,G,91,"['comedy', 'romance']",['AU'],,tt12546872,5.4,2914,9.495,6.203
tm1095880,You vs. Wild: Out Cold,MOVIE,2021,,25,['action'],['US'],,tt15250050,5.4,334,3.061,5.611
tm1075596,Monster Hunter: Legends of the Guild,MOVIE,2021,PG-13,58,"['fantasy', 'animation', 'action']",['US'],,,,,11.599,5.6
ts309930,Remarriage & Desires,SHOW,2022,TV-14,62,['drama'],['KR'],1,tt15268768,7.3,1497,24.486,7.6
tm1269537,Christmas on Mistletoe Farm,MOVIE,2022,G,104,"['family', 'comedy']",['GB'],,tt20561114,4.4,1517,10.761,5.3
ts304468,Thirty-Nine,SHOW,2022,TV-MA,73,"['drama', 'romance']",['KR'],1,tt15309342,7.9,150,9.617,8.2
tm1107063,Love and Leashes,MOVIE,2022,R,118,"['romance', 'comedy']",['KR'],,tt15553956,6.3,5306,19.427,6.957
tm855075,Rurouni Kenshin: The Beginning,MOVIE,2021,R,138,"['drama', 'action', 'history', 'romance']",['JP'],,tt11991748,7.4,9297,59.56,7.688
ts317297,The Orbital Children,SHOW,2022,TV-14,32,"['action', 'scifi', 'drama', 'fantasy', 'animation']",['JP'],2,tt13351614,6.4,720,11.643,7.6
tm1241650,Natchathiram Nagargiradhu,MOVIE,2022,,170,"['drama', 'romance']",['IN'],,tt15097236,6.9,1568,1.996,6.7
tm1158704,Tyler Perry's A Madea Homecoming,MOVIE,2022,R,105,"['comedy', 'romance', 'drama']",['US'],,tt14813966,5.6,4242,35.118,6.9
ts354526,Behind Every Star,SHOW,2022,,65,"['drama', 'comedy']",['KR'],1,tt23024424,6.9,168,11.71,7.5
tm1120902,The Privilege,MOVIE,2022,,107,"['drama', 'horror', 'scifi', 'thriller']",['DE'],,tt14637290,4.7,5132,22.738,5.035
tm1158776,Seoul Vibe,MOVIE,2022,R,140,"['comedy', 'drama', 'action', 'crime']",['KR'],,tt13611770,5.5,1733,96.727,6.7
tm458292,Space Sweepers,MOVIE,2021,R,136,"['drama', 'fantasy', 'scifi', 'action']",['KR'],,tt12838766,6.5,26654,37.395,7.12
tm819054,Dear Mother,MOVIE,2021,,98,"['comedy', 'drama']","['FR', 'BE']",,tt10551904,5.8,1679,6.425,5.9
tm813372,Etharkkum Thunindhavan,MOVIE,2022,,151,"['crime', 'drama', 'thriller', 'action']",['IN'],,tt10340562,6.5,12968,,
tm1247481,Skandal! Bringing Down Wirecard,MOVIE,2022,,92,"['documentation', 'crime']","['US', 'DE', 'GB']",,tt21836620,7.2,1832,19.537,7.56
ts320872,Queer Eye Germany,SHOW,2022,TV-14,50,['reality'],['DE'],1,tt16369694,7.3,1179,2.669,2.75
